id;code;latitude;longitude;address;district;postal_code;total_volume;trash_type;prediction;bin_type;installed_at;created;last_modify;created_batch_id;updated_batch_id
30018;0009/ 161C00392;50,107794600000000;14,489894499999991;Èihákova Matìjkova 9652;;19000;3000;plastic;2019-05-18 00:42:29;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30019;0009/ 161C00393;50,107794600000000;14,489894499999991;Èihákova Matìjkova 9652;;19000;1500;glass_coloured;2019-05-27 00:00:22;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30020;0009/ 161C00394;50,107794600000000;14,489894499999991;Èihákova Matìjkova 9652;;19000;1500;glass_white;2019-06-01 08:39:11;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30021;0009/ 161C00395;50,107794600000000;14,489894499999991;Èihákova Matìjkova 9652;;19000;3000;beverage_cartons;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30022;0010/ 264C00441;50,072903400000000;14,476854900000035;Litevská 1174/8;;10000;1500;glass_coloured;;Bammens Memphis;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30023;0010/ 264C00442;50,072903400000000;14,476854900000035;Litevská 1174/8;;10000;1500;glass_white;;Bammens Memphis;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30024;0010/ 264C00443;50,072903400000000;14,476854900000035;Litevská 1174/8;;10000;3000;paper;2019-05-17 10:37:05;Bammens Memphis;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30025;0010/ 264C00444;50,072903400000000;14,476854900000035;Litevská 1174/8;;10000;3000;plastic;;Bammens Memphis;2018-12-18 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30026;0010/ 264C00445;50,072903400000000;14,476854900000035;Litevská 1174/8;;10000;1500;beverage_cartons;;Bammens Memphis;2019-01-13 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30027;0003/ 010C00481;50,085211000000000;14,451586000000020;Štítného 629/23;;13000;1500;beverage_cartons;2019-05-17 18:30:21;Schäfer/Europa-OR/GB;2018-11-27 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30028;0003/ 010C00482;50,085211000000000;14,451586000000020;Štítného 629/23;;13000;1500;paper;2019-05-18 02:19:56;Schäfer/Europa-OR/GB;2018-12-05 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30029;0003/ 010C00483;50,085211000000000;14,451586000000020;Štítného 629/23;;13000;1500;plastic;;Schäfer/Europa-OR/GB;2018-12-05 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
30030;0003/ 010C00484;50,085211000000000;14,451586000000020;Štítného 629/23;;13000;1500;glass_coloured;2019-05-16 14:07:56;Schäfer/Europa-OR/GB;2018-12-05 00:00:00;2019-02-25 15:41:32.220000000;2019-05-15 15:00:04.113000000;-2;8924021
